Name,FeatureId,Kind,Part,Vertex,X,Y,Z
"osm_way_27482801_0_9","osm:way/27482801","building",0,9,14877.868275476621,-3801.9312606521466,-0.18460425338346909
"osm_way_27482801_0_10","osm:way/27482801","building",0,10,17609.205751792633,-4056.41069180147,-0.2556258521007493
"osm_way_27482801_0_11","osm:way/27482801","building",0,11,17644.12855065214,-3684.2338102224867,-0.2543267946908401
"osm_way_27482801_0_12","osm:way/27482801","building",0,12,18779.208770038913,-3789.8072184214157,-0.28730587290226595
"osm_way_27482801_0_13","osm:way/27482801","building",0,13,18567.232206766,-6053.975552344756,-0.2986165596194468
"osm_way_27482801_0_14","osm:way/27482801","building",0,14,17440.275020645935,-5949.513682091899,-0.2658706381634346
"osm_way_27482801_0_15","osm:way/27482801","building",0,15,17512.55655914817,-5186.273311706587,-0.2611719982557048
"osm_way_27482801_0_16","osm:way/27482801","building",0,16,14705.714053461168,-4925.126754004003,-0.18831759344735133
"osm_way_27482801_0_17","osm:way/27482801","building",0,17,14648.05366507527,-5537.274658930571,-0.19202361219754494
"osm_way_27482801_0_18","osm:way/27482801","building",0,18,14302.17158468527,-5505.048906509433,-0.18390656582880638
"osm_way_27482801_0_19","osm:way/27482801","building",0,19,12901.592393168701,-5375.036356981203,-0.15297411218142543
"osm_way_27482801_0_20","osm:way/27482801","building",0,20,12455.030813201474,-5332.81083330637,-0.1437561895862416
"osm_way_27482801_0_21","osm:way/27482801","building",0,21,12519.185949868379,-4652.893176108523,-0.1396770712588591
"osm_way_27482801_0_22","osm:way/27482801","building",0,22,10566.491321697158,-4470.659499383813,-0.10308787070414382
"osm_way_27482801_0_23","osm:way/27482801","building",0,23,9764.302948544459,-4396.211927714325,-0.08980428714124855
"osm_way_27482801_0_24","osm:way/27482801","building",0,24,9700.962478852538,-5076.12985416523,-0.09389826803989365
"osm_way_27482801_0_25","osm:way/27482801","building",0,25,8658.443151763577,-4978.349648177088,-0.07814508304910817
"osm_way_27482801_0_26","osm:way/27482801","building",0,26,8869.574933584458,-2724.1770540407424,-0.06740321894138646
"osm_way_27482801_0_27","osm:way/27482801","building",0,27,9416.006294499353,-2775.2894227885636,-0.07544461701662897
"osm_way_27482802_0_0","osm:way/27482802","road",0,0,5737.053533074057,-11861.941780669065,-0.13628454558656244
"osm_way_27482802_0_1","osm:way/27482802","road",0,1,6047.208184997359,-11888.607959639172,-0.1396427414476875
"osm_way_27482802_0_2","osm:way/27482802","road",0,2,6938.699692899044,-11965.274011521718,-0.15014044537196014
"osm_way_27482802_0_3","osm:way/27482802","road",0,3,9983.409602739624,-12227.502917041737,-0.19545017565150147
"osm_way_27482802_0_4","osm:way/27482802","road",0,4,10831.056417663103,-12300.840502063424,-0.21067259189422316
"osm_way_27482803_0_0","osm:way/27482803","building",0,0,25752.105415240923,-3468.9631628989373,-0.528512653542279
"osm_way_27482803_0_1","osm:way/27482803","building",0,1,25860.950980812806,-2250.223935245731,-0.5274346754928771
"osm_way_27482803_0_2","osm:way/27482803","building",0,2,25862.575698029086,-2228.0044281944656,-0.5274223099505093
"osm_way_27482803_0_3","osm:way/27482803","building",0,3,25977.107514031388,-949.2726250192961,-0.5288780808047733
"osm_way_27482803_0_4","osm:way/27482803","building",0,4,34912.431827142995,-1740.6900232989806,-0.956389094860377
"osm_way_27482803_0_5","osm:way/27482803","building",0,5,46799.10093024806,-2792.3910712389147,-1.7203479532156507
"osm_way_27482803_0_6","osm:way/27482803","building",0,6,46684.52951218813,-4081.118204258943,-1.7189226695887072
"osm_way_27482803_0_7","osm:way/27482803","building",0,7,46676.40391687698,-4172.217880692725,-1.7189195610328056
"osm_way_27482803_0_8","osm:way/27482803","building",0,8,46574.83408202293,-5312.074835283806,-1.7199979332346516
"osm_way_27482803_0_9","osm:way/27482803","building",0,9,34860.33778548411,-4274.82921047562,-0.9655183095897968
